rank,word,text,year,preset
3,health,"The threat of COVID-19 is greater in situations of armed conflict, where fighting has ravaged health systems, displaced people and forced them to live in overcrowded conditions with marginal or no access to basic services.",2020,yes
3,global,"At the end of 2020, about 1 per cent of the global population – 82.4 million people – had been forcibly displaced as a result of persecution, conflict or generalized violence.",2021,
3,2020," Pleas for global peace are growing louder as the world witnesses the largest number of violent conflicts since 1946, with one quarter of the global population living in conflict-affected countries at the end of 2020.",2022,
4,people,"But many countries still face protracted violence and armed conflict, and far too many people are poorly supported by weak institutions and lack access to justice, information and other fundamental freedoms.",2016,
4,people,"However, violent conflicts have increased in recent years, and a number of high-intensity armed conflicts are causing large numbers of civilian casualties and driving millions of people from their homes.",2017,
4,people,"In 2015, 5.2 billion people (71 per cent of the global population) used safely managed drinking water services—that is, an improved water source located on premises, available when needed and free from contamination.",2018,
4,people,"Millions of people have been deprived of their security, rights and opportunities, while attacks on human rights activists and journalists are holding back development.",2019,
4,people,"In 2019, the number of people fleeing war, persecution and conflict exceeded 79.5 million, the highest level recorded since these statistics have been systematically collected.",2020,
4,pandemic,The COVID-19 pandemic has exposed and intensified inequality and discrimination.,2021,
4,people,"As of May 2022, a record 100 million people had been forcibly displaced worldwide.",2022,
5,development,"Climate change presents the single biggest threat to development, and its widespread, unprecedented effects disproportionately burden the poorest and the most vulnerable.",2016,
5,global,"While some regions have reached universal or near-universal birth registration, globally the average is just 71 per cent, based on available data reported for 147 countries from 2010 to 2016 and covering 80 per cent of the world’s population of children under age 5.",2017,
5,global,"In 2015, 5.2 billion people (71 per cent of the global population) used safely managed drinking water services—that is, an improved water source located on premises, available when needed and free from contamination.",2018,
5,Africa,"Over that period, lethal violence was increasingly concentrated in two regions: Latin America and the Caribbean accounted for 34 per cent of global homicides in 2017 (compared to 27 per cent in 2000), and the share in sub-Saharan Africa grew from 25 to 33 per cent.",2019,
5,COVID-19,The COVID-19 pandemic threatens to amplify and exploit fragilities across the globe.,2020,yes
5,2019,"In 2020, the killings of 331 human rights defenders were reported in 32 countries (an 18 per cent increase from 2019), along with 19 enforced disappearances in 14 countries.",2021,
5,pandemic,"Consequently, energy-related CO2 emissions for 2021 rose by 6 per cent, reaching their highest level ever and completely wiping out the pandemic-related reduction seen in 2020.Developed countries have jointly committed to mobilizing $100 billion dollars per year by 2020, further extended to 2025, for climate action in developing countries.",2022,
6,2015,"The period from 2011 to 2015 was the hottest on record, with sea ice reaching its lowest level in history and coral bleaching – resulting from increased sea surface temperatures – threatening the world’s coral reefs.",2016,
6,regions,"Progress in promoting peace and justice, and in building effective, accountable and inclusive institutions remains uneven across and within regions.",2017,
6,areas,"Among the 84 countries participating in the 2017 survey, the number of countries that had policies specifically mentioning women’s participation is higher for rural communities than for urban areas.",2018,
6,2018,"In 2018, the number of people fleeing war, persecution and conflict exceeded 70 million, the highest level that the United Nations High Commissioner for Refugees has seen in almost 70 years.",2019,
6,2018,"The global rate of intentional homicides has declined slowly – from 6.8 per 100,000 population in 2000 to 5.9 in 2015 and 5.8 in 2018.",2020,
6,people,"Each year, tens of millions of people are displaced due to persecution, conflict or generalized violence.",2021,
6,2021,"Exercising fundamental freedoms in the defence of others remains deadly, with 320 fatal attacks against human rights defenders, journalists and trade unionists recorded in 35 countries in 2021.",2022,
7,developed,"However, the homicide rate in developing regions was twice that of developed regions and, in Latin America and the Caribbean, it was four times the world average.",2016,
7,Sub-Saharan,"Sub-Saharan Africa has the lowest coverage, with about 13 per cent of its population covered by at least one social protection benefit, versus 86 per cent of the population in Europe and Northern America.In 2016, 68 per cent of people above retirement age received a pension.",2017,
7,population,"However,
population growth, agricultural intensification, urbanization and industrial production are beginning to overwhelm and undermine nature’s ability to fulfil key functions and provide key services.",2018,
7,Asia,"Central and Southern Asia and South-Eastern Asia also lag behind at 68 per cent and 82 per cent, respectively.",2019,
7,2019,"In 2019, the number of people fleeing war, persecution and conflict exceeded 79.5 million, the highest level recorded since these statistics have been systematically collected.",2020,
7,COVID-19,The COVID-19 pandemic has exposed and intensified inequality and discrimination.,2021,yes
7,COVID-19,"Amid these crises, and despite movement restrictions prompted by COVID-19, forced displacement has continued and even grown.",2022,yes
8,Asia,"The highest rate of unsentenced detainees was in Southern Asia, where, despite recent progress, about two out of three prisoners remained unsentenced in 2012-2014.",2016,
8,2000,"The values for all regions represent a significant global increase since 2000, when only 21 per cent of countries had been reviewed for compliance, and 16 per cent had an NHRI that was compliant.",2017,
8,developing,"Europe and Northern America have almost 4 per cent of their total land covered by freshwater bodies, while coverage in least developed countries and small island developing States is only around 1 per cent.",2018,
8,water,"Coastal areas worldwide are affected by land-based pollutants, including sewage and nutrient runoff, leading to coastal eutrophication, degraded water quality and the impairment of coastal marine ecosystems.",2019,yes
8,Africa,Two thirds of homicide victims live in sub-Saharan Africa (36 per cent) and Latin America and the Caribbean (33 per cent).,2020,
8,women,"In 2020, 5 civilians per 100,000 people were killed in armed conflicts, and 1 in 7 of those were women or children.",2021,yes
8,health,"Children in particular have suffered immeasurable damage and disruption to their lives and development due to conflict, enduring physical and sexual violence, unmet basic needs, lack of access to education and wide-ranging mental health problems caused by trauma.",2022,yes
9,sustainable,"The landmark Paris Agreement, signed in April 2016 by 175 Member States, attempts to mitigate climate change and accelerate and intensify actions and investments needed for a sustainable, low-carbon future.",2016,
9,children,Such harm ranges from immediate effects to long-term damage that children carry well into adulthood.,2017,yes
9,rate,The implementation of integrated water resources management at all levels (including the transboundary level) and mainstreaming water and sanitation into the policies and plans of other sectors are critical.,2018,
9,years,"In recent years, no substantial advances have been made towards ending violence, promoting the rule of law, strengthening institutions at all levels, or increasing access to justice.",2019,
9,2020,"In March 2020, the Secretary-General launched an appeal for an immediate global ceasefire to aid in the delivery of humanitarian assistance and open channels for diplomacy, in particular for those most vulnerable to COVID-19.",2020,
9,health,"Yet it is commonplace in many countries to be asked to pay bribes to access essential public services related to health care, education, water, electricity and the justice system.",2021,yes
9,food,"For example, the outbreak of war in Ukraine has caused food, fuel and fertilizer prices to skyrocket, disrupted supply chains and global trade and roiled financial markets, potentially leading to a global food crisis.",2022,
10,global,"Carbon emissions have been steadily rising over the past decades, leading to increases in global temperatures.",2016,
10,2016,"In 76 countries with available data from 2005 to 2016, on average, about 8 in 10 children aged 1 to 14 years were subjected to some form of psychological aggression and/or physical punishment on a regular basis.",2017,
10,2017,"In 2017, 157 countries reported average IWRM implementation of 48 per cent, with scores ranging from 10 per cent to 100 per cent.",2018,
10,2016,"In recent years, a growing number of trafficking victims have been detected in countries around the world: from an average of 150 detected victims per country in 2010 to 254 in 2016.",2019,
10,pandemic,The COVID-19 pandemic threatens to amplify and exploit fragilities across the globe.,2020,
10,children,A woman and her two young children flee their home to escape fighting.,2021,yes
10,2019,"From 2018 to 2019, national authorities destroyed an average of 48 per cent of weapons seized, found or surrendered.",2022,
11,growth,"In many coastal communities, pollution and eutrophication—excessive nutrients in water, frequently due to runoff from land, causing dense plant and algal growth and the death of animal life from lack of oxygen—have been key factors driving detrimental changes.",2016,yes
11,progress,Rates of pretrial detention suggest that progress with respect to the rule of law and access to justice has been slow.,2017,
11,2000,"Between 2000 and 2015, the proportion of the global population practising open defecation declined from 20 per cent to 12 per cent.",2018,
11,children,"Yet, less than three quarters (73 per cent) of children under 5 years of age worldwide have had their births registered, according to data from 161 countries over the period 2010 to 2018.",2019,yes
11,services,"The threat of COVID-19 is greater in situations of armed conflict, where fighting has ravaged health systems, displaced people and forced them to live in overcrowded conditions with marginal or no access to basic services.",2020,
11,progress,"Still, there are some signs of progress: the frequency of chlorophyll-a anomalies in countries’ exclusive economic zones fell by 20 per cent from 2018 to 2020.",2021,
11,children,"Among them were 11,075 civilians, and 1 in 8 were women or children.",2022,yes
12,population,"And in most regions, birth registration rates tend to be highest among the richest 20 per cent of the population.",2016,
12,women,"Globally, more women and girls than men and boys were identified as victims of trafficking in 2014.",2017,yes
12,Africa,"Preliminary estimates from household data in 79 mostly high- and high-middle-income countries (excluding much of Africa and Asia) show that, in 22 countries, less than 50 per cent of all household wastewater flows are safely treated.",2018,
12,access,"In recent years, no substantial advances have been made towards ending violence, promoting the rule of law, strengthening institutions at all levels, or increasing access to justice.",2019,
12,women,"In slightly more than one in four countries with comparable data, at least 5 per cent of women between 18 and 29 years of age reported experiencing sexual violence in childhood.The impact of COVID-19 on children’s risk of exposure to violence and exploitation due to lockdowns and associated school closures, which have affected the majority of children globally, is still largely unknown.",2020,yes
12,services,"Corruption is antithetical to sustainable development, aggravating income inequality, reducing domestic and foreign investment, and significantly lowering the quality of public sector services.",2021,
12,data,"An estimated 41 per cent of people forcibly displaced worldwide were children, according to 2021 data.",2022,
13,access,"But many countries still face protracted violence and armed conflict, and far too many people are poorly supported by weak institutions and lack access to justice, information and other fundamental freedoms.",2016,
13,Asia,"While intentional homicides saw an overall decline over the past decade, people in some countries in Latin America, sub-Saharan Africa and Asia face a heightened risk of becoming a victim.",2017,
13,national,"In 2017, based on data from 62 out of 153 countries sharing transboundary waters, the average percentage of national transboundary basin area covered by an operational arrangement was 59 per cent.",2018,
13,rate,"The global homicide rate was roughly stable at around 6 per 100,000 people over the 2007–2017 decade, with the highest rates observed in Latin America and the Caribbean.",2019,
13,data,"Nearly eight in ten children from 1 to 14 years of age were subjected to some form of psychological aggression and/or physical punishment at home in the previous month in 69 (mostly low- and middle-income) countries with available data from 2012 to 2019.Trafficking of children is a global problem, mostly associated with sexual exploitation, but also forced labour.",2020,
13,data,"According to the latest available data in more than 120 countries and territories over the period 2011 to 2020, the average prevalence rate of bribery in low-income countries is 37.6 per cent, versus 7.2 per cent in high-income countries.",2021,
13,women,"Among them were 11,075 civilians, and 1 in 8 were women or children.",2022,yes
14,children,"However, significant challenges remain, including lack of data on various forms of violence against children and other vulnerable groups, access to justice and public access to information.",2016,yes
14,rate,Latin American and the Caribbean had the highest rate by far—17 times that of Eastern and South-Eastern Asia and 20 times the rate in Australia and New Zealand.,2017,
14,regions,"Globally, people living in fragile states are twice as likely to lack basic sanitation and about four times as likely to lack basic drinking water services as populations in non-fragile situations, with significant differences observed across all regions.",2018,
14,2010,"In recent years, a growing number of trafficking victims have been detected in countries around the world: from an average of 150 detected victims per country in 2010 to 254 in 2016.",2019,
14,population,"This translates to an average of 11.9 civilian deaths per 100,000 population each year; one in eight of those deaths was a woman or child.",2020,
14,economic,The risk to children is increasing due to the combined effects of pandemic-related school closures and economic distress.,2021,
14,world," Pleas for global peace are growing louder as the world witnesses the largest number of violent conflicts since 1946, with one quarter of the global population living in conflict-affected countries at the end of 2020.",2022,
15,2014,"Worldwide, the number of victims of intentional homicide per 100,000 people was estimated at between 4.6 and 6.8 in 2014.",2016,
15,development,"To provide a sound basis for development, government budgets should be comprehensive, transparent and realistic.",2017,
15,access,"Conflict, violence and instability can derail progress towards universal access to basic water and sanitation services.",2018,
15,regions,"Over that period, lethal violence was increasingly concentrated in two regions: Latin America and the Caribbean accounted for 34 per cent of global homicides in 2017 (compared to 27 per cent in 2000), and the share in sub-Saharan Africa grew from 25 to 33 per cent.",2019,
15,progress,"While this represents substantial progress, many KBAs have only partial or no protected area coverage.",2020,
15,water,"Yet it is commonplace in many countries to be asked to pay bribes to access essential public services related to health care, education, water, electricity and the justice system.",2021,yes
15,due,"Children in particular have suffered immeasurable damage and disruption to their lives and development due to conflict, enduring physical and sexual violence, unmet basic needs, lack of access to education and wide-ranging mental health problems caused by trauma.",2022,
16,Africa,"In sub-Saharan Africa, the share is over half (54 per cent).",2016,
16,areas,"When effectively managed and well-resourced, marine protected areas are important mechanisms for safeguarding ocean life.",2017,
16,2015,"In 2015, 5.2 billion people (71 per cent of the global population) used safely managed drinking water services—that is, an improved water source located on premises, available when needed and free from contamination.",2018,
16,Sub-Saharan,"Sub-Saharan Africa remains the region with the highest prevalence of hunger, with the rate increasing from 20.7 per cent in 2014 to 23.2 per cent in 2017.",2019,
16,economic,"The rise is largely attributable to increased industrialization and enhanced economic output measured in terms of GDP.As of 31 March 2020, 189 parties had ratified the Paris Agreement, and 186 parties (185 countries plus the European Union) had communicated their first nationally determined contributions to the United Nations Framework Convention on Climate Change Secretariat.",2020,
16,Africa,"However, in sub-Saharan Africa, civilian deaths in conflicts increased by 66 per cent.",2021,
16,progress,"Accelerated progress will require additional policy interventions aimed at curbing lethal violence in the public arena, along with specific policies aimed at preventing gender-based killings within the home.Businesses around the world face obstacles and unfair competition due to corruption, which adversely impacts the sustainable development of national economies.",2022,
17,2000,"While the numbers of people affected varies greatly from year to year, an average of 83,000 people died and 211 million were affected annually as a result of natural disasters occurring from 2000 to 2013.",2016,
17,data,Disparities abound: data show that countries with higher income inequality suffer from higher levels of violence.,2017,
17,sustainable,"Access to fresh water, in sufficient quantity and quality, is also a prerequisite to achieving many dimensions of sustainable development, including health, food security and poverty reduction.",2018,
17,progress,The pace of progress in establishing national human rights institutions (NHRIs) that are in compliance with the principles relating to the status of national institutions (the Paris Principles) must be accelerated.,2019,
17,access," Conflict, insecurity, weak institutions and limited access to justice remain threats to sustainable development.",2020,
17,access,"Yet it is commonplace in many countries to be asked to pay bribes to access essential public services related to health care, education, water, electricity and the justice system.",2021,
17,rate,"Between 2015 and 2020, the global homicide rate declined by 5.2 per cent - from 5.9 to 5.6 homicides per 100,000 people.",2022,
18,share,"Globally, the share of girls and boys among victims of human trafficking peaked in 2011, at 21 per cent and 13 per cent, respectively, of cases detected by authorities that year.",2016,
18,new,"Global temperatures continued to increase in 2016, setting a new record of about 1.1 degrees Celsius above the pre-industrial period.",2017,
18,data,"Preliminary estimates from household data in 79 mostly high- and high-middle-income countries (excluding much of Africa and Asia) show that, in 22 countries, less than 50 per cent of all household wastewater flows are safely treated.",2018,
18,health,"To preserve the health and productivity of fisheries, fish stocks must be maintained within biologically sustainable levels.",2019,yes
18,water,"However, the absorbed CO2 has caused seawater to become more acidic, evidenced by a 26 per cent drop in pH levels since pre-industrial times.",2020,yes
18,due,"Each year, tens of millions of people are displaced due to persecution, conflict or generalized violence.",2021,
18,economic,"This translates into melting ice caps and glaciers, intense heat and rainfall as well as sea-level rise and other potentially cataclysmic events, with adverse social and economic consequences.",2022,
19,women,Survey data from 31 low- and middle-income countries suggest that the proportion of women aged 18 to 29 years who experienced sexual violence for the first time before age 18 may be as high as 16 per cent.,2016,yes
19,growth,A similar study taking into consideration population growth also showed an upward trend.,2017,yes
19,energy,"Water-related ecosystems are home to diverse plant and animal species, and the source of many sustainable goods and services, including food and water for drinking, energy, agriculture and recreation.",2018,
19,poverty,"One in two victims had been working with communities on issues involving land, the environment, poverty, the rights of minorities and indigenous peoples, or the impact of business activities.",2019,
19,children,"One in four children continues to be deprived of legal identity through lack of birth registration, often limiting their ability to exercise rights in other areas.",2020,yes
19,regions,"Progress has stalled in most regions, where no new independent NHRIs have been recognized or established since 2018.",2021,
19,number," Pleas for global peace are growing louder as the world witnesses the largest number of violent conflicts since 1946, with one quarter of the global population living in conflict-affected countries at the end of 2020.",2022,
20,areas,"Globally, children living in urban areas are around 1.5 times more likely to be registered than their rural counterparts.",2016,
20,water,"Bribery often occurs in transactions necessary for a private firm
      to conduct business, such as paying taxes; obtaining an operating
      license, import license or construction permit; or obtaining an
      electrical or water connection.",2017,yes
20,progress,"Conflict, violence and instability can derail progress towards universal access to basic water and sanitation services.",2018,
20,economic,"From 1998 to 2017, climate-related disasters around the world accounted for 77 per cent of the nearly $3 trillion in direct economic losses from disasters.",2019,
20,Asia,"Significant increases over the past three years were recorded in all regions of Asia and in Oceania.Prison overcrowding remains a serious problem in many countries, often leading to inhumane conditions, the violation of human rights, violence among prisoners and reduced prospects for rehabilitation.",2020,
20,Asia,"At the regional level, Northern Africa and Western Asia reflects this leap, while Central and Southern Asia reduced its regional score from 3/5 to 2/5, highlighting the need for redoubled efforts.",2021,
20,services,"Declining ecosystems and biodiversity loss will affect nature-based services, threatening human health and our very survival.",2022,
21,world,"Today, more than half the world has internationally recognized human rights institutions.",2016,
21,developing,"In parallel with the Agreement, a push to develop and implement initiatives to enhance financial flows, technologies and capacity-building efforts to support developing and most vulnerable countries is underway.",2017,
21,world,"Using the World Bank’s harmonized classification of fragile states, an estimated 484 million people worldwide lived in fragile situations in 2015.",2018,
21,population,Extreme poverty today is concentrated and overwhelmingly affects rural populations.,2019,
21,2017,"Yet, at least 106,806 civilian deaths were recorded by the United Nations in 12 of the world’s deadliest armed conflicts between 2015 and 2017.",2020,
21,rate,Previous economic crises suggest that the sharp increase in adult unemployment rates and an asymmetric global recovery from COVID-19 is likely to increase the risk of trafficking.,2021,
21,development,"Ending armed conflicts, strengthening institutions and enacting inclusive and equitable legislation that protects the human rights of all persons are necessary preconditions for sustainable development.The United Nations recorded at least 13,842 deaths associated with 12 of the world's deadliest armed conflicts in 2021.",2022,
22,period,"The period from 2011 to 2015 was the hottest on record, with sea ice reaching its lowest level in history and coral bleaching – resulting from increased sea surface temperatures – threatening the world’s coral reefs.",2016,
22,access,"Homicides are slowly declining, and more citizens around the world have better access to justice.",2017,
22,development,"Access to fresh water, in sufficient quantity and quality, is also a prerequisite to achieving many dimensions of sustainable development, including health, food security and poverty reduction.",2018,
22,women,"Men made up around 80 per cent of homicide victims overall, but women constituted the majority (64 per cent) of murder victims in cases of intimate partner/family-related homicide.",2019,yes
22,rate,"The global rate of intentional homicides has declined slowly – from 6.8 per 100,000 population in 2000 to 5.9 in 2015 and 5.8 in 2018.",2020,
22,crisis,"In fact, the crisis has created major disruptions in government functioning and has tested, weakened and sometimes even shattered countries’ systems of rights and protection.",2021,
22,Asia,"However, stark differences are found among regions, with Latin America and the Caribbean reporting the lowest level of perceived public safety and Eastern and South-Eastern Asia reporting the highest.",2022,
23,rate,"However, the homicide rate in developing regions was twice that of developed regions and, in Latin America and the Caribbean, it was four times the world average.",2016,
23,globally,"While some regions have reached universal or near-universal birth registration, globally the average is just 71 per cent, based on available data reported for 147 countries from 2010 to 2016 and covering 80 per cent of the world’s population of children under age 5.",2017,
23,land,"Globally, slightly more than 2 per cent of land is covered by freshwater bodies, but they are unevenly distributed across countries.",2018,
23,growth,"If growth continues at the same rate, by 2030 only around half of all countries will have compliant NHRIs to ensure that States deliver on their human rights obligations.",2019,yes
23,food,"Ocean acidification endangers coral reefs and other key species that are the base of the marine food chain, and has negative effects on marine ecosystem services, including fisheries and aquaculture, coastal protection, transportation and tourism.",2020,
23,share,"Globally, one in three trafficking victims detected in 2018 were a child; in low-income countries, the share was one half.",2021,
23,water,"Globally, almost 1 in 6 businesses face requests for bribe payments by public officials, most commonly in transactions involving electrical and water connections, construction-related permits, import licenses, operating licenses, and meetings with tax officials.",2022,yes
24,progress,"The highest rate of unsentenced detainees was in Southern Asia, where, despite recent progress, about two out of three prisoners remained unsentenced in 2012-2014.",2016,
24,population,"In contrast, the highest proportion of unsentenced detainees remains in Central and Southern Asia, where over 60 per cent of the total prison population are being detained without a trial.",2017,
24,growth,"However,
population growth, agricultural intensification, urbanization and industrial production are beginning to overwhelm and undermine nature’s ability to fulfil key functions and provide key services.",2018,yes
24,share,"Over that period, lethal violence was increasingly concentrated in two regions: Latin America and the Caribbean accounted for 34 per cent of global homicides in 2017 (compared to 27 per cent in 2000), and the share in sub-Saharan Africa grew from 25 to 33 per cent.",2019,
24,Sub-Saharan,Sub-Saharan Africa and Southern Asia account for about 86 per cent of maternal deaths globally.The world has also made tremendous strides in reducing child mortality over the past two decades.,2020,
24,world,"The world is still a long way from achieving the goal of peaceful, just and inclusive societies.",2021,
24,climate,"The world is on the brink of a climate catastrophe, and the window to avert it is closing rapidly.",2022,yes
25,globally,"The incidence of HIV, malaria and tuberculosis declined globally between 2000 and 2015, indicating that MDG 6 was achieved.",2016,
25,America,"While intentional homicides saw an overall decline over the past decade, people in some countries in Latin America, sub-Saharan Africa and Asia face a heightened risk of becoming a victim.",2017,
25,Sub-Saharan,"Sub-Saharan Africa, Oceania* and many parts of Asia have the largest populations using polluting fuels.",2018,
25,resources,"The resulting adverse effects of ocean acidification, climate change (including sea-level rise), extreme weather events and coastal erosion exacerbate ongoing threats to marine and coastal resources from overfishing, pollution and habitat degradation.",2019,
25,growth,"The spurt in growth was largely due to high levels of new private investment in renewable energy, which represents the largest segment in total climate-related flows.",2020,yes
25,population,"At the end of 2020, about 1 per cent of the global population – 82.4 million people – had been forcibly displaced as a result of persecution, conflict or generalized violence.",2021,
25,developing,"Consequently, energy-related CO2 emissions for 2021 rose by 6 per cent, reaching their highest level ever and completely wiping out the pandemic-related reduction seen in 2020.Developed countries have jointly committed to mobilizing $100 billion dollars per year by 2020, further extended to 2025, for climate action in developing countries.",2022,
26,proportion,Survey data from 31 low- and middle-income countries suggest that the proportion of women aged 18 to 29 years who experienced sexual violence for the first time before age 18 may be as high as 16 per cent.,2016,
26,deaths,"The highest number of deaths (32) in 2016 occurred in the Arab States region, home to several armed conflicts.",2017,
26,basic,Safe drinking water and sanitation are basic human rights.,2018,
26,2000,"The number of homicide victims increased by 11 per cent, from 419,000 in 2000 to 464,000 in 2017.",2019,
26,2010,"The year 2019 was the second warmest on record and the end of the warmest decade (2010–2019), bringing with it massive wildfires, hurricanes, droughts, floods and other climate disasters across continents.",2020,
26,developing,"Developed countries saw the steepest declines, averaging drops of almost 10 per cent, while emissions from developing countries fell by 4 per cent relative to 2019.",2021,
26,population," Pleas for global peace are growing louder as the world witnesses the largest number of violent conflicts since 1946, with one quarter of the global population living in conflict-affected countries at the end of 2020.",2022,
27,water,"The top three priority areas were water, agriculture and health, which coincide with the top climate hazards that Parties identified – floods, drought and higher temperatures.",2016,yes
27,2014,"More than 570 different trafficking flows, which criss-cross the globe, were identified by law enforcement officers between 2012 and 2014.",2017,
27,oda,"In 2016, 26 countries experienced high or moderately high levels of general food prices, which may have negatively affected food security.Many more people today are living healthier lives than in the past decade.",2018,
27,2015,"Every week, an average of nine people were murdered on the front lines of efforts to build more inclusive and equal societies—a disturbing increase from the average of one victim per day from 2015 to 2017.",2019,
27,share,"The share of sustainable fisheries in the GDP of these groups of countries averaged 1.55 per cent and 1.11 per cent, respectively, for the period 2011–2017.",2020,
27,compared,"One in three LDCs now have an internationally compliant NHRI, compared with one in five in 2015.",2021,
27,Africa,This gender gap holds across all regions but is particularly pronounced in Australia and New Zealand (a 27-percentage-point difference) and Northern Africa and Western Asia (a 17-percentage-point difference).,2022,
28,Sub-Saharan,"Sub-Saharan Africa accounted for 89 per cent of all malaria cases worldwide, with an incidence rate of 235 per 1,000 people at risk.",2016,
28,worldwide,"In 2015, between 5.2 and 6.7 persons per 100,000 people worldwide were victims of intentional homicide.",2017,
28,urban,"However,
population growth, agricultural intensification, urbanization and industrial production are beginning to overwhelm and undermine nature’s ability to fulfil key functions and provide key services.",2018,
28,developing,"Access to finance and the strengthening of resilience and adaptive capacity need to be scaled up at a much faster pace, particularly among LDCs and small island developing States.In 2017, atmospheric CO2 concentrations reached 405.5 parts per million (ppm) (up from 400.1 ppm in 2015), representing 146 per cent of pre‑industrial levels.",2019,
28,2030,"If 2015–2018 trends continue, the rate per 100,000 population would stand at around 5.2 in 2030, an overall decrease of about 12 per cent.",2020,
28,food,"The highest-priority areas for adaptation identified in the NDCs are: food security and production, terrestrial and wetland ecosystems, freshwater resources, human health, and key economic sectors and services.",2021,
28,areas,The IPCC projects that about one third of global land areas will suffer at least moderate drought by 2100.,2022,
29,energy,"As countries shift to less energy-intensive industries, cleaner fuels and technologies, and stronger energy efficiency policies, almost all regions have shown a reduction in the carbon intensity of their GDP.",2016,
29,Northern,"Northern Africa and Western Asia, which had one of the highest proportions of unsentenced detainees a decade ago, has made the most progress.",2017,
29,Asia,"Preliminary estimates from household data in 79 mostly high- and high-middle-income countries (excluding much of Africa and Asia) show that, in 22 countries, less than 50 per cent of all household wastewater flows are safely treated.",2018,
29,services,"Birth registration is fundamental to helping people access their individual rights, such as basic social services and legal justice.",2019,
29,workers,"Southern Asia and sub-Saharan Africa are expected to see the largest increases in extreme poverty, with an additional 32 million and 26 million people, respectively, living below the international poverty line as a result of the pandemic.The share of the world’s workers living in extreme poverty fell by half over the last decade: from 14.3 per cent in 2010 to 7.1 per cent in 2019.",2020,
29,sustainable,"Recovery from the crisis and sustainable development must be built on a foundation of peace, stability, respect for human rights, effective governance and the rule of law.",2021,
29,access,"Children in particular have suffered immeasurable damage and disruption to their lives and development due to conflict, enduring physical and sexual violence, unmet basic needs, lack of access to education and wide-ranging mental health problems caused by trauma.",2022,
30,GDP,The agriculture orientation index (AOI) — the agriculture share of government expenditures divided by the agriculture share of GDP —fell from 0.37 to 0.33 between 2001 and 2013 in developing countries.,2016,
30,health,"Reducing risks associated with natural hazards requires a comprehensive approach that prevents new risk, minimizes existing risk, and strengthens economic, social, health and environmental resilience.",2017,yes
30,use,"In 2015, 5.2 billion people (71 per cent of the global population) used safely managed drinking water services—that is, an improved water source located on premises, available when needed and free from contamination.",2018,
30,data,"Yet, less than three quarters (73 per cent) of children under 5 years of age worldwide have had their births registered, according to data from 161 countries over the period 2010 to 2018.",2019,
30,crisis,The climate crisis continues unabated as the global community shies away from the full commitment required for its reversal.,2020,
30,development,"Recovery from the crisis and sustainable development must be built on a foundation of peace, stability, respect for human rights, effective governance and the rule of law.",2021,
30,year,"In 2021, the global mean temperature was about 1.11 ± 0.13 °C above the pre-industrial level (from 1850 to 1900), making it one of the seven warmest years on record (2015 to 2021).While variations in global temperatures from year on year are to be expected, the long-term trend is a warming climate.",2022,
31,national,"Efforts are under way to make national and international institutions more effective, inclusive and transparent.",2016,
