rank,word,text,year
6,Africa,"Over that period, lethal violence was increasingly concentrated in two regions: Latin America and the Caribbean accounted for 34 per cent of global homicides in 2017 (compared to 27 per cent in 2000), and the share in sub-Saharan Africa grew from 25 to 33 per cent.",2019
6,2018,"The global rate of intentional homicides has declined slowly – from 6.8 per 100,000 population in 2000 to 5.9 in 2015 and 5.8 in 2018.",2020
6,2019,"In 2020, the killings of 331 human rights defenders were reported in 32 countries (an 18 per cent increase from 2019), along with 19 enforced disappearances in 14 countries.",2021
6,pandemic,"Consequently, energy-related CO2 emissions for 2021 rose by 6 per cent, reaching their highest level ever and completely wiping out the pandemic-related reduction seen in 2020.Developed countries have jointly committed to mobilizing $100 billion dollars per year by 2020, further extended to 2025, for climate action in developing countries.",2022
7,developed,"However, the homicide rate in developing regions was twice that of developed regions and, in Latin America and the Caribbean, it was four times the world average.",2016
7,Sub-Saharan,"Sub-Saharan Africa has the lowest coverage, with about 13 per cent of its population covered by at least one social protection benefit, versus 86 per cent of the population in Europe and Northern America.In 2016, 68 per cent of people above retirement age received a pension.",2017
7,million,This means that 844 million people still lacked even a basic level of service.,2018
7,2018,"In 2018, the number of people fleeing war, persecution and conflict exceeded 70 million, the highest level that the United Nations High Commissioner for Refugees has seen in almost 70 years.",2019
7,billion,"Global climate-related financial flows saw a 17 per cent rise from 2013–2014 to 2015–2016, from $584 billion to $681 billion.",2020
7,people,"Each year, tens of millions of people are displaced due to persecution, conflict or generalized violence.",2021
7,2021,"Exercising fundamental freedoms in the defence of others remains deadly, with 320 fatal attacks against human rights defenders, journalists and trade unionists recorded in 35 countries in 2021.",2022
8,Asia,"The highest rate of unsentenced detainees was in Southern Asia, where, despite recent progress, about two out of three prisoners remained unsentenced in 2012-2014.",2016
8,2000,"The values for all regions represent a significant global increase since 2000, when only 21 per cent of countries had been reviewed for compliance, and 16 per cent had an NHRI that was compliant.",2017
8,areas,"Among the 84 countries participating in the 2017 survey, the number of countries that had policies specifically mentioning women’s participation is higher for rural communities than for urban areas.",2018
8,Asia,"Central and Southern Asia and South-Eastern Asia also lag behind at 68 per cent and 82 per cent, respectively.",2019
8,2019,"In 2019, the number of people fleeing war, persecution and conflict exceeded 79.5 million, the highest level recorded since these statistics have been systematically collected.",2020
8,COVID-19,The COVID-19 pandemic has exposed and intensified inequality and discrimination.,2021
8,COVID-19,"Amid these crises, and despite movement restrictions prompted by COVID-19, forced displacement has continued and even grown.",2022
9,sustainable,"The landmark Paris Agreement, signed in April 2016 by 175 Member States, attempts to mitigate climate change and accelerate and intensify actions and investments needed for a sustainable, low-carbon future.",2016
9,these,"Moreover, in 2015, these countries had, on average, a homicide rate that was nine times greater than countries where income was more evenly distributed.",2017
9,population,"However,
population growth, agricultural intensification, urbanization and industrial production are beginning to overwhelm and undermine nature’s ability to fulfil key functions and provide key services.",2018
9,one,"In 2018, the number of people fleeing war, persecution and conflict exceeded 70 million, the highest level that the United Nations High Commissioner for Refugees has seen in almost 70 years.",2019
9,Africa,Two thirds of homicide victims live in sub-Saharan Africa (36 per cent) and Latin America and the Caribbean (33 per cent).,2020
9,women,"In 2020, 5 civilians per 100,000 people were killed in armed conflicts, and 1 in 7 of those were women or children.",2021
9,health,"Children in particular have suffered immeasurable damage and disruption to their lives and development due to conflict, enduring physical and sexual violence, unmet basic needs, lack of access to education and wide-ranging mental health problems caused by trauma.",2022
10,global,"Carbon emissions have been steadily rising over the past decades, leading to increases in global temperatures.",2016
10,children,Such harm ranges from immediate effects to long-term damage that children carry well into adulthood.,2017
10,developing,"Europe and Northern America have almost 4 per cent of their total land covered by freshwater bodies, while coverage in least developed countries and small island developing States is only around 1 per cent.",2018
10,water,"Coastal areas worldwide are affected by land-based pollutants, including sewage and nutrient runoff, leading to coastal eutrophication, degraded water quality and the impairment of coastal marine ecosystems.",2019
10,million,"In 2019, the number of people fleeing war, persecution and conflict exceeded 79.5 million, the highest level recorded since these statistics have been systematically collected.",2020
10,health,"Yet it is commonplace in many countries to be asked to pay bribes to access essential public services related to health care, education, water, electricity and the justice system.",2021
10,food,"For example, the outbreak of war in Ukraine has caused food, fuel and fertilizer prices to skyrocket, disrupted supply chains and global trade and roiled financial markets, potentially leading to a global food crisis.",2022
11,over,"Worldwide, the proportion of people held in detention without being sentenced for a crime decreased only slightly over the last decade—from 32 per cent of total detainees in 2003-2005 to 30 per cent in 2012-2014.",2016
11,2016,"In 76 countries with available data from 2005 to 2016, on average, about 8 in 10 children aged 1 to 14 years were subjected to some form of psychological aggression and/or physical punishment on a regular basis.",2017
11,rate,The implementation of integrated water resources management at all levels (including the transboundary level) and mainstreaming water and sanitation into the policies and plans of other sectors are critical.,2018
11,billion,Upper-limit estimates rose from $584 billion in 2014 to $680 billion in 2015 and to $681 billion in 2016.,2019
11,2020,"In March 2020, the Secretary-General launched an appeal for an immediate global ceasefire to aid in the delivery of humanitarian assistance and open channels for diplomacy, in particular for those most vulnerable to COVID-19.",2020
11,over,"In fact, the crisis has created major disruptions in government functioning and has tested, weakened and sometimes even shattered countries’ systems of rights and protection.",2021
11,2019,"From 2018 to 2019, national authorities destroyed an average of 48 per cent of weapons seized, found or surrendered.",2022
12,million,"While the numbers of people affected varies greatly from year to year, an average of 83,000 people died and 211 million were affected annually as a result of natural disasters occurring from 2000 to 2013.",2016
12,million,"However, violent conflicts have increased in recent years, and a number of high-intensity armed conflicts are causing large numbers of civilian casualties and driving millions of people from their homes.",2017
12,over,"Access to fresh water, in sufficient quantity and quality, is also a prerequisite to achieving many dimensions of sustainable development, including health, food security and poverty reduction.",2018
12,years,"In recent years, no substantial advances have been made towards ending violence, promoting the rule of law, strengthening institutions at all levels, or increasing access to justice.",2019
12,pandemic,The COVID-19 pandemic threatens to amplify and exploit fragilities across the globe.,2020
12,children,A woman and her two young children flee their home to escape fighting.,2021
12,billion,"Over the last decade, the world has spent $349 billion on peacekeeping, humanitarian relief and refugee support.",2022
13,growth,"In many coastal communities, pollution and eutrophication—excessive nutrients in water, frequently due to runoff from land, causing dense plant and algal growth and the death of animal life from lack of oxygen—have been key factors driving detrimental changes.",2016
13,progress,Rates of pretrial detention suggest that progress with respect to the rule of law and access to justice has been slow.,2017
13,2017,"In 2017, 157 countries reported average IWRM implementation of 48 per cent, with scores ranging from 10 per cent to 100 per cent.",2018
13,2016,"In recent years, a growing number of trafficking victims have been detected in countries around the world: from an average of 150 detected victims per country in 2010 to 254 in 2016.",2019
13,services,"The threat of COVID-19 is greater in situations of armed conflict, where fighting has ravaged health systems, displaced people and forced them to live in overcrowded conditions with marginal or no access to basic services.",2020
13,one,"Globally, one in three trafficking victims detected in 2018 were a child; in low-income countries, the share was one half.",2021
13,children,"Among them were 11,075 civilians, and 1 in 8 were women or children.",2022
14,population,"And in most regions, birth registration rates tend to be highest among the richest 20 per cent of the population.",2016
14,women,"Globally, more women and girls than men and boys were identified as victims of trafficking in 2014.",2017
14,2000,"Between 2000 and 2015, the proportion of the global population practising open defecation declined from 20 per cent to 12 per cent.",2018
14,children,"Yet, less than three quarters (73 per cent) of children under 5 years of age worldwide have had their births registered, according to data from 161 countries over the period 2010 to 2018.",2019
14,women,"In slightly more than one in four countries with comparable data, at least 5 per cent of women between 18 and 29 years of age reported experiencing sexual violence in childhood.The impact of COVID-19 on children’s risk of exposure to violence and exploitation due to lockdowns and associated school closures, which have affected the majority of children globally, is still largely unknown.",2020
14,increased,"However, in sub-Saharan Africa, civilian deaths in conflicts increased by 66 per cent.",2021
14,data,"An estimated 41 per cent of people forcibly displaced worldwide were children, according to 2021 data.",2022
15,access,"But many countries still face protracted violence and armed conflict, and far too many people are poorly supported by weak institutions and lack access to justice, information and other fundamental freedoms.",2016
15,Asia,"While intentional homicides saw an overall decline over the past decade, people in some countries in Latin America, sub-Saharan Africa and Asia face a heightened risk of becoming a victim.",2017
15,Africa,"Preliminary estimates from household data in 79 mostly high- and high-middle-income countries (excluding much of Africa and Asia) show that, in 22 countries, less than 50 per cent of all household wastewater flows are safely treated.",2018
15,access,"In recent years, no substantial advances have been made towards ending violence, promoting the rule of law, strengthening institutions at all levels, or increasing access to justice.",2019
15,data,"Nearly eight in ten children from 1 to 14 years of age were subjected to some form of psychological aggression and/or physical punishment at home in the previous month in 69 (mostly low- and middle-income) countries with available data from 2012 to 2019.Trafficking of children is a global problem, mostly associated with sexual exploitation, but also forced labour.",2020
15,progress,"Still, there are some signs of progress: the frequency of chlorophyll-a anomalies in countries’ exclusive economic zones fell by 20 per cent from 2018 to 2020.",2021
15,women,"Among them were 11,075 civilians, and 1 in 8 were women or children.",2022
16,children,"However, significant challenges remain, including lack of data on various forms of violence against children and other vulnerable groups, access to justice and public access to information.",2016
16,increased,"However, violent conflicts have increased in recent years, and a number of high-intensity armed conflicts are causing large numbers of civilian casualties and driving millions of people from their homes.",2017
16,national,"In 2017, based on data from 62 out of 153 countries sharing transboundary waters, the average percentage of national transboundary basin area covered by an operational arrangement was 59 per cent.",2018
16,rate,"The global homicide rate was roughly stable at around 6 per 100,000 people over the 2007–2017 decade, with the highest rates observed in Latin America and the Caribbean.",2019
16,population,"This translates to an average of 11.9 civilian deaths per 100,000 population each year; one in eight of those deaths was a woman or child.",2020
16,services,"Corruption is antithetical to sustainable development, aggravating income inequality, reducing domestic and foreign investment, and significantly lowering the quality of public sector services.",2021
16,many,"While the humanitarian emergency in that country is currently in the global spotlight, many other conflicts require equal – and sustained – attention and compassion.",2022
17,2014,"Worldwide, the number of victims of intentional homicide per 100,000 people was estimated at between 4.6 and 6.8 in 2014.",2016
17,rate,Latin American and the Caribbean had the highest rate by far—17 times that of Eastern and South-Eastern Asia and 20 times the rate in Australia and New Zealand.,2017
17,regions,"Globally, people living in fragile states are twice as likely to lack basic sanitation and about four times as likely to lack basic drinking water services as populations in non-fragile situations, with significant differences observed across all regions.",2018
17,those,"Unless Member States live up to their international obligation to protect those who stand up for the fundamental rights and freedoms of others, human rights defenders, journalists and trade unionists will continue to be targets of assassination in countries around the world.",2019
17,progress,"While this represents substantial progress, many KBAs have only partial or no protected area coverage.",2020
17,data,"According to the latest available data in more than 120 countries and territories over the period 2011 to 2020, the average prevalence rate of bribery in low-income countries is 37.6 per cent, versus 7.2 per cent in high-income countries.",2021
17,world," Pleas for global peace are growing louder as the world witnesses the largest number of violent conflicts since 1946, with one quarter of the global population living in conflict-affected countries at the end of 2020.",2022
18,Africa,"In sub-Saharan Africa, the share is over half (54 per cent).",2016
18,development,"To provide a sound basis for development, government budgets should be comprehensive, transparent and realistic.",2017
18,access,"Conflict, violence and instability can derail progress towards universal access to basic water and sanitation services.",2018
18,over,More countries are ramping up efforts to uncover human rights abuses and designing laws and regulations that foster more open and just societies.,2019
18,economic,"The rise is largely attributable to increased industrialization and enhanced economic output measured in terms of GDP.As of 31 March 2020, 189 parties had ratified the Paris Agreement, and 186 parties (185 countries plus the European Union) had communicated their first nationally determined contributions to the United Nations Framework Convention on Climate Change Secretariat.",2020
18,economic,The risk to children is increasing due to the combined effects of pandemic-related school closures and economic distress.,2021
18,will,This staggering number will increase along with the widening repercussions of the war in Ukraine.,2022
19,2000,"While the numbers of people affected varies greatly from year to year, an average of 83,000 people died and 211 million were affected annually as a result of natural disasters occurring from 2000 to 2013.",2016
19,areas,"When effectively managed and well-resourced, marine protected areas are important mechanisms for safeguarding ocean life.",2017
19,2015,"In 2015, 5.2 billion people (71 per cent of the global population) used safely managed drinking water services—that is, an improved water source located on premises, available when needed and free from contamination.",2018
19,2010,"In recent years, a growing number of trafficking victims have been detected in countries around the world: from an average of 150 detected victims per country in 2010 to 254 in 2016.",2019
19,only,"More than 20,000 civilians were killed or injured in 10 conflicts in 2019, which is only a fraction of the actual total.",2020
19,water,"Yet it is commonplace in many countries to be asked to pay bribes to access essential public services related to health care, education, water, electricity and the justice system.",2021
19,increase,This staggering number will increase along with the widening repercussions of the war in Ukraine.,2022
20,increased,A number of regions have enjoyed increased and sustained levels of peace and security in recent decades.,2016
20,however,"Expert assessments, however, suggest that implementation remains a challenge.",2017
20,since,"For the remaining eight countries, open defecation rates have actually increased since 2000.",2018
20,regions,"Over that period, lethal violence was increasingly concentrated in two regions: Latin America and the Caribbean accounted for 34 per cent of global homicides in 2017 (compared to 27 per cent in 2000), and the share in sub-Saharan Africa grew from 25 to 33 per cent.",2019
20,access," Conflict, insecurity, weak institutions and limited access to justice remain threats to sustainable development.",2020
20,Africa,"However, in sub-Saharan Africa, civilian deaths in conflicts increased by 66 per cent.",2021
20,increased,"Human rights violations in conflict-affected countries, including human trafficking and forced labour, have increased and international humanitarian law has been disregarded, undermining the global compact of humanity.",2022
21,however,"Ending these epidemics, however, will require reinvigorated efforts.",2016
21,data,Disparities abound: data show that countries with higher income inequality suffer from higher levels of violence.,2017
21,sustainable,"Access to fresh water, in sufficient quantity and quality, is also a prerequisite to achieving many dimensions of sustainable development, including health, food security and poverty reduction.",2018
21,Sub-Saharan,"Sub-Saharan Africa remains the region with the highest prevalence of hunger, with the rate increasing from 20.7 per cent in 2014 to 23.2 per cent in 2017.",2019
21,over,"The threat of COVID-19 is greater in situations of armed conflict, where fighting has ravaged health systems, displaced people and forced them to live in overcrowded conditions with marginal or no access to basic services.",2020
21,billion,Total climate finance reported by Annex I Parties to the Paris Agreement reached an annual average of $48.7 billion in 2017–2018.,2021
21,due,"Children in particular have suffered immeasurable damage and disruption to their lives and development due to conflict, enduring physical and sexual violence, unmet basic needs, lack of access to education and wide-ranging mental health problems caused by trauma.",2022
22,share,"Globally, the share of girls and boys among victims of human trafficking peaked in 2011, at 21 per cent and 13 per cent, respectively, of cases detected by authorities that year.",2016
22,over,"While intentional homicides saw an overall decline over the past decade, people in some countries in Latin America, sub-Saharan Africa and Asia face a heightened risk of becoming a victim.",2017
22,data,"Preliminary estimates from household data in 79 mostly high- and high-middle-income countries (excluding much of Africa and Asia) show that, in 22 countries, less than 50 per cent of all household wastewater flows are safely treated.",2018
22,progress,The pace of progress in establishing national human rights institutions (NHRIs) that are in compliance with the principles relating to the status of national institutions (the Paris Principles) must be accelerated.,2019
22,water,"However, the absorbed CO2 has caused seawater to become more acidic, evidenced by a 26 per cent drop in pH levels since pre-industrial times.",2020
22,access,"Yet it is commonplace in many countries to be asked to pay bribes to access essential public services related to health care, education, water, electricity and the justice system.",2021
22,progress,"Accelerated progress will require additional policy interventions aimed at curbing lethal violence in the public arena, along with specific policies aimed at preventing gender-based killings within the home.Businesses around the world face obstacles and unfair competition due to corruption, which adversely impacts the sustainable development of national economies.",2022
23,these,"Of these, 137 included an adaptation component.",2016
23,new,"Global temperatures continued to increase in 2016, setting a new record of about 1.1 degrees Celsius above the pre-industrial period.",2017
23,energy,"Water-related ecosystems are home to diverse plant and animal species, and the source of many sustainable goods and services, including food and water for drinking, energy, agriculture and recreation.",2018
23,increased,"The number of homicide victims increased by 11 per cent, from 419,000 in 2000 to 464,000 in 2017.",2019
23,children,"One in four children continues to be deprived of legal identity through lack of birth registration, often limiting their ability to exercise rights in other areas.",2020
23,however,"These gains, however, are not enough to meet the 2030 target.",2021
23,over,"Then they must decline by 43 per cent by 2030, falling to net zero by 2050, according to the Intergovernmental Panel on Climate Change (IPCC), the United Nations body responsible for assessing the science related to climate change.",2022
24,least,"Data from 38 countries in the developed regions show that, in the majority of these countries, at least 75 per cent of young people achieved at least minimum proficiency in reading and/or mathematics; the same was true for only 5 of the 22 countries with data in developing regions.",2016
24,growth,A similar study taking into consideration population growth also showed an upward trend.,2017
24,however,"Between 2012 and 2016, commitments to the water sector decreased from a peak of $12 billion to $9 billion; however disbursements to water-related activities increased from $7.4 billion to $9 billion.",2018
24,health,"To preserve the health and productivity of fisheries, fish stocks must be maintained within biologically sustainable levels.",2019
24,Asia,"Significant increases over the past three years were recorded in all regions of Asia and in Oceania.Prison overcrowding remains a serious problem in many countries, often leading to inhumane conditions, the violation of human rights, violence among prisoners and reduced prospects for rehabilitation.",2020
24,only,"However, increases have plateaued, and coverage rose by only 1 percentage point over the last five years.",2021
24,rate,"Between 2015 and 2020, the global homicide rate declined by 5.2 per cent - from 5.9 to 5.6 homicides per 100,000 people.",2022
25,women,Survey data from 31 low- and middle-income countries suggest that the proportion of women aged 18 to 29 years who experienced sexual violence for the first time before age 18 may be as high as 16 per cent.,2016
25,water,"Bribery often occurs in transactions necessary for a private firm
      to conduct business, such as paying taxes; obtaining an operating
      license, import license or construction permit; or obtaining an
      electrical or water connection.",2017
25,progress,"Conflict, violence and instability can derail progress towards universal access to basic water and sanitation services.",2018
25,poverty,"One in two victims had been working with communities on issues involving land, the environment, poverty, the rights of minorities and indigenous peoples, or the impact of business activities.",2019
25,2017,"Yet, at least 106,806 civilian deaths were recorded by the United Nations in 12 of the world’s deadliest armed conflicts between 2015 and 2017.",2020
25,between,"At least 176,095 civilian deaths were recorded in 12 of the world’s deadliest armed conflicts between 2015 and 2020.",2021
25,since," Pleas for global peace are growing louder as the world witnesses the largest number of violent conflicts since 1946, with one quarter of the global population living in conflict-affected countries at the end of 2020.",2022
26,areas,"Globally, children living in urban areas are around 1.5 times more likely to be registered than their rural counterparts.",2016
26,developing,"In parallel with the Agreement, a push to develop and implement initiatives to enhance financial flows, technologies and capacity-building efforts to support developing and most vulnerable countries is underway.",2017
26,world,"Using the World Bank’s harmonized classification of fragile states, an estimated 484 million people worldwide lived in fragile situations in 2015.",2018
26,however,"Expert assessments, however, suggest that in many cases, the legal framework could be improved.",2019
26,rate,"The global rate of intentional homicides has declined slowly – from 6.8 per 100,000 population in 2000 to 5.9 in 2015 and 5.8 in 2018.",2020
26,due,"Each year, tens of millions of people are displaced due to persecution, conflict or generalized violence.",2021
26,other,"Exercising fundamental freedoms in the defence of others remains deadly, with 320 fatal attacks against human rights defenders, journalists and trade unionists recorded in 35 countries in 2021.",2022
27,world,"Today, more than half the world has internationally recognized human rights institutions.",2016
27,access,"Homicides are slowly declining, and more citizens around the world have better access to justice.",2017
27,increased,"For the remaining eight countries, open defecation rates have actually increased since 2000.",2018
27,economic,"From 1998 to 2017, climate-related disasters around the world accounted for 77 per cent of the nearly $3 trillion in direct economic losses from disasters.",2019
27,not,"However, 31 per cent of prisoners worldwide are being held in detention without being sentenced for a crime – a level that has not declined since 2005.",2020
27,these,"Impunity is a key driver in these killings; in some contexts, pandemic measures have been used to avoid accountability.",2021
27,not,"This indicates the importance of cooperative practices at the international level, though they are not yet sufficient.",2022
28,period,"The period from 2011 to 2015 was the hottest on record, with sea ice reaching its lowest level in history and coral bleaching – resulting from increased sea surface temperatures – threatening the world’s coral reefs.",2016
28,globally,"While some regions have reached universal or near-universal birth registration, globally the average is just 71 per cent, based on available data reported for 147 countries from 2010 to 2016 and covering 80 per cent of the world’s population of children under age 5.",2017
28,development,"Access to fresh water, in sufficient quantity and quality, is also a prerequisite to achieving many dimensions of sustainable development, including health, food security and poverty reduction.",2018
28,population,Extreme poverty today is concentrated and overwhelmingly affects rural populations.,2019
28,food,"Ocean acidification endangers coral reefs and other key species that are the base of the marine food chain, and has negative effects on marine ecosystem services, including fisheries and aquaculture, coastal protection, transportation and tourism.",2020
28,average,"According to the latest available data in more than 120 countries and territories over the period 2011 to 2020, the average prevalence rate of bribery in low-income countries is 37.6 per cent, versus 7.2 per cent in high-income countries.",2021
28,these,"Amid these crises, and despite movement restrictions prompted by COVID-19, forced displacement has continued and even grown.",2022
29,rate,"However, the homicide rate in developing regions was twice that of developed regions and, in Latin America and the Caribbean, it was four times the world average.",2016
29,population,"In contrast, the highest proportion of unsentenced detainees remains in Central and Southern Asia, where over 60 per cent of the total prison population are being detained without a trial.",2017
29,these,"Of these, 284 million people lacked basic sanitation services and 183 million lacked basic drinking water services.",2018
29,women,"Men made up around 80 per cent of homicide victims overall, but women constituted the majority (64 per cent) of murder victims in cases of intimate partner/family-related homicide.",2019
29,Sub-Saharan,Sub-Saharan Africa and Southern Asia account for about 86 per cent of maternal deaths globally.The world has also made tremendous strides in reducing child mortality over the past two decades.,2020
29,regions,"Progress has stalled in most regions, where no new independent NHRIs have been recognized or established since 2018.",2021
29,average,"Between 2016 and 2020, an average of 28 per cent of seized weapons were reported as successfully traced, according to data from 20 countries.",2022
30,among,"Globally, the share of girls and boys among victims of human trafficking peaked in 2011, at 21 per cent and 13 per cent, respectively, of cases detected by authorities that year.",2016
30,between,"In 2015, between 5.2 and 6.7 persons per 100,000 people worldwide were victims of intentional homicide.",2017
30,land,"Globally, slightly more than 2 per cent of land is covered by freshwater bodies, but they are unevenly distributed across countries.",2018
30,growth,"If growth continues at the same rate, by 2030 only around half of all countries will have compliant NHRIs to ensure that States deliver on their human rights obligations.",2019
30,will,"However, despite the drastic reduction in human activity due to the COVID-19 crisis, the resulting 6 per cent drop in emissions projected for 2020 falls short of this target, and emissions are expected to rise as restrictions are lifted.If the world does not act now, and forcefully, the catastrophic effects of climate change will be far greater than the current pandemic.",2020
30,since,"Progress has stalled in most regions, where no new independent NHRIs have been recognized or established since 2018.",2021
30,economic,"This translates into melting ice caps and glaciers, intense heat and rainfall as well as sea-level rise and other potentially cataclysmic events, with adverse social and economic consequences.",2022
31,progress,"The highest rate of unsentenced detainees was in Southern Asia, where, despite recent progress, about two out of three prisoners remained unsentenced in 2012-2014.",2016
31,since,"The values for all regions represent a significant global increase since 2000, when only 21 per cent of countries had been reviewed for compliance, and 16 per cent had an NHRI that was compliant.",2017
31,growth,"However,
population growth, agricultural intensification, urbanization and industrial production are beginning to overwhelm and undermine nature’s ability to fulfil key functions and provide key services.",2018
31,share,"Over that period, lethal violence was increasingly concentrated in two regions: Latin America and the Caribbean accounted for 34 per cent of global homicides in 2017 (compared to 27 per cent in 2000), and the share in sub-Saharan Africa grew from 25 to 33 per cent.",2019
31,growth,"The spurt in growth was largely due to high levels of new private investment in renewable energy, which represents the largest segment in total climate-related flows.",2020
31,Asia,"At the regional level, Northern Africa and Western Asia reflects this leap, while Central and Southern Asia reduced its regional score from 3/5 to 2/5, highlighting the need for redoubled efforts.",2021
31,number," Pleas for global peace are growing louder as the world witnesses the largest number of violent conflicts since 1946, with one quarter of the global population living in conflict-affected countries at the end of 2020.",2022
32,around,"Globally, children living in urban areas are around 1.5 times more likely to be registered than their rural counterparts.",2016
32,one,Poorer countries and regions tend to be sources of victims for human traffickers and are more prone to corruption.,2017
32,Sub-Saharan,"Sub-Saharan Africa, Oceania* and many parts of Asia have the largest populations using polluting fuels.",2018
32,not,"Among the 123 countries for which data on legal frameworks are available, 40 countries do not have adequate provisions on the right to appeal to an independent administrative body, which is considered key for the proper implementation of this right.",2019
32,also,"Nearly eight in ten children from 1 to 14 years of age were subjected to some form of psychological aggression and/or physical punishment at home in the previous month in 69 (mostly low- and middle-income) countries with available data from 2012 to 2019.Trafficking of children is a global problem, mostly associated with sexual exploitation, but also forced labour.",2020
32,rate,Previous economic crises suggest that the sharp increase in adult unemployment rates and an asymmetric global recovery from COVID-19 is likely to increase the risk of trafficking.,2021
32,also,Gender disparities are also found at the regional level.,2022
33,globally,"The incidence of HIV, malaria and tuberculosis declined globally between 2000 and 2015, indicating that MDG 6 was achieved.",2016
33,only,"Among the 109 countries with implementation data, only 62 countries had clear legal provisions for exceptions to the right of access to information in 2016.",2017
33,basic,Safe drinking water and sanitation are basic human rights.,2018
